H,a,e,i,q,ad,per_y,diameter,albedo,impact_candidate,name,is_neo,is_pha
16.4,1.645,0.32,36.77,1.118,2.17,2.11,0.2701286265618486,0.0,1,  3553 Mera (1985 JA),False,False
15.91,0.974,0.2806,23.36,0.701,1.25,0.961,0.33850930447502553,0.0,1,  3554 Amun (1986 EB),False,False
16.49,2.197,0.5438,13.53,1.002,3.39,3.26,0.25916157491396913,0.0,1,  3671 Dionysus (1984 KD),False,False
14.93,1.774,0.2845,20.35,1.27,2.28,2.36,0.5315824206684017,0.0,1,  3691 Bede (1982 FT),False,False
15.15,1.414,0.3015,55.56,0.987,1.84,1.68,0.4803641746770282,0.0,1,  3752 Camillo (1985 PA),False,False
15.44,0.9978,0.5149,19.8,0.484,1.51,0.997,0.4203108590429178,0.0,1,  3753 Cruithne (1986 TO),False,False
19.01,1.835,0.4459,3.87,1.017,2.65,2.48,0.08120272629690826,0.0,0,  3757 Anagolay (1982 XB),False,False
15.63,1.505,0.7027,29.2,0.447,2.56,1.85,0.38509742127590063,0.0,1,  3838 Epona (1986 WA),False,False
17.45,1.928,0.459,2.19,1.043,2.81,2.68,0.1665599609977425,0.0,1,  3908 Nyx (1980 PA),False,False
17.94,1.545,0.3167,10.77,1.055,2.03,1.92,0.13291396398775984,0.0,1,  3988 Huma (1986 LA),False,False
16.19,2.626,0.6309,2.8,0.969,4.28,4.26,0.297557300790309,0.0,1,  4015 Wilson-Harrington (1979 VA),False,False
18.49,1.059,0.444,11.17,0.589,1.53,1.09,0.10317408130518846,0.0,1,  4034 Vishnu (1986 PA),False,False
14.93,1.82,0.326,23.25,1.227,2.41,2.46,0.5315824206684017,0.0,1,  4055 Magellan (1985 DO2),False,False
15.29,2.543,0.6247,0.45,0.954,4.13,4.06,0.45037119966548905,0.0,1,  4179 Toutatis (1989 AC),False,False
14.16,1.981,0.6362,6.67,0.721,3.24,2.79,0.757827935530306,0.0,1,  4183 Cuno (1959 LM),False,False
14.97,2.295,0.7725,12.6,0.522,4.07,3.48,0.5218799480367873,0.0,1,  4197 Morpheus (1982 TA),False,False
15.98,1.647,0.4684,40.72,0.876,2.42,2.11,0.32777106366156433,0.0,1,  4257 Ubasti (1987 QA),False,False
16.08,1.834,0.6801,11.84,0.587,3.08,2.48,0.31301893570915434,0.0,1,  4341 Poseidon (1987 KF),False,False
16.12,2.584,0.5634,26.62,1.128,4.04,4.15,0.3073056962587667,0.0,1,  4401 Aditi (1985 TB),False,False
17.28,1.442,0.5866,5.52,0.596,2.29,1.73,0.18012359674981906,0.0,1,  4450 Pan (1987 SY),False,False
15.61,2.206,0.66,3.03,0.75,3.66,3.28,0.388660683843392,0.0,1,  4486 Mithra (1987 SB),False,False
17.48,1.73,0.2965,16.41,1.217,2.24,2.28,0.16427467265960788,0.0,1,  4487 Pocahontas (1987 UA),False,False
15.82,2.704,0.5248,2.51,1.285,4.12,4.45,0.35283414806612406,0.0,1,  4503 Cleobulus (1989 WM),False,False
17.37,1.042,0.2501,14.14,0.781,1.3,1.06,0.17281069247269779,0.0,1,  4544 Xanthus (1989 FB),False,False
20.74,1.023,0.3569,4.92,0.658,1.39,1.03,0.03660754546895442,0.0,0,  4581 Asclepius (1989 FC),False,False
